index,text,heart_disease_detected
1,stressed m worried about gallstones and also have read around the more serious side effects including the rare occurrences of heart failure and death that have resulted from these kinds of diet specifically lighterlife m not going to do it for more than eight weeks max as kick start and then it sink or swim with more conventional diet need to break my habits and get into the zone but m well aware of the downsides of this kind of dieting particularly as ve bloody well done it once and out the weight back on and more ,no
2,heart failure is alerted from pause side effect withdrawl can wrestle bacterium since allergic insulin vasectomy sometimes buzz cholera glucose usually file environment http onlinepharmshop xyz zypexa http onlinepharmshop xyz topamac 25 mg side effects http onlinepharmshop xyz methotrexete http onlinepharmshop xyz razon medication http onlinepharmshop xyz patoprazole http onlinepharmshop xyz metromdazole http onlinepharmshop xyz define erythro http onlinepharmshop xyz dilt cd http onlinepharmshop xyz metronidazde http onlinepharmshop xyz mechlazine http onlinepharmshop xyz clodipine http onlinepharmshop xyz lemotrigen http onlinepharmshop xyz orlanzapine http onlinepharmshop xyz divelproex http onlinepharmshop xyz methocar http onlinepharmshop xyz crestor http onlinepharmshop xyz nortriptyline http onlinepharmshop xyz phenergan http onlinepharmshop xyz tamasulin http onlinepharmshop xyz levothroxin http onlinepharmshop xyz plaviks 75mg http onlinepharmshop xyz eryocin 500 plus http onlinepharmshop xyz montlukast http onlinepharmshop xyz qutipin medicine http onlinepharmshop xyz ondanestron ,no
3,procedure note pacemaker icd interrogation history of present illness the patient is 67 year old gentleman who was admitted to the hospital he has had icd pacemaker implantation this is st jude medical model current drrs 12345 pacemaker diagnosis severe nonischemic cardiomyopathy with prior ventricular tachycardia findings the patient is ddd mode base rate of 60 max tracking rate of 110 beats per minute atrial lead is set at 2 5 volts with pulse width of 0 5 msec ventricular lead set at 2 5 volts with pulse width of 0 5 msec interrogation of the pacemaker shows that atrial capture is at 0 75 volts at 0 5 msec ventricular capture 0 5 volts at 0 5 msec sensing in the atrium is 5 34 to 5 8 millivolts sensing is 12 12 0 millivolts atrial lead impendence 590 ohms ventricular lead impendence 750 ohms the defibrillator portion is set at vt1 at 139 beats per minute with svt discrimination on therapy is monitor only vt2 detection criteria is 169 beats per minute with svt discrimination on therapy of atp times 3 followed by 25 joules followed by 36 joules followed by 36 joules times 2 vf detection criteria set at 187 beats per minute with therapy of 25 joules followed by 36 joules times 5 the patient is in normal sinus rhythm impression normally functioning pacemaker icd post implant day number 1 ,yes
4,i think there a fundamental misunderstanding here beta blockers such as propranolol act by blocking beta 1 and beta 2 receptors throughout the body beta 1 receptors when stimulated cause an increase in heart rate among other effects beta 2 receptors when stimulated cause whole bunch of other things such as vasodilation relaxation of blood vessels relax bronchioles etc now beta blockers are usually given to someone in heart failure or with atrial fibrillation in these states the heart is working to hard at rest and is doing damage to itself because of this work because it is working so hard it is becoming ischemic lack of oxygen and other nutrients beta blockers block beta receptors and cause the resting heart rate to decrease this causes the heart to not work as hard at rest which increases the survival for people with these conditions now beta blockers block certain amount of beta adrenergic stimulation but not all of it that would be very dangerous so when you exercise even if you are taking your beta blockers there is such flood of acetylcholine the molecule that stimulates beta blockers that it can bind to receptors even in the presence of the drug and cause an increase in heart rate therefore even if you are on the drug you still get increases in heart rate with higher than normal levels of stimulation ,no
5,originally posted by jrr777 if that the prayer you would say you have no idea what is going on pray for everyone pray we can turn back to god pray we get leader outside the corruption who can lead this country back to greatness pray for the ones lost the ones overseas pray for everyone to turn to god but most of all do not pray for yourself life is all peaches and cream right now for ya isn it what happens when an orlando event is done nation wide at the same time they are just getting feel for it now seeing how americans will respond or react criminals might call it casing the joint but pay no attention think outside the box try thinking like muslim extremist it obvious our leaders don muslims was allowed in the united states in six digit figures you could be driving to work and all the sudden an ak 47 starts blasting you all over the news in every state or worse it could be much worse but please continue as if everything is fine please act like there is no evil at work here there is no god it all around you it obvious evil is at the gate god is waiting hoping we turn back to him he does not want to judge the entire nation for select few but he will stop acting childish it here right at your front door um am dying of heart failure and if we intend on making america great again then we need to be deists taking upon ourselves the responsibility to be informed citizens leaving it up to god to fix our screw ups is how we are in this climate change fiasco prayed for an end to climate change and while our reservoirs are now full up we still see oceans rise on the contrary see our leaders acting just like muslim extremists what with hating gays stopping transpersons from going and telling women to suck it up when they are raped god will give us the wisdom but not fix it for us will pray for wisdom in fact it should be obvious already have ,no
6,view more jobs san ramon calif june 27 2016 prnewswire bioventrix inc an emerging medical device company dedicated to the minimally invasive treatment of heart failure hf announced today that it has received certification for ce marking its revivent tc transcatheter ventricular enhancement system following myocardial infarction or heart attack the revivent tc system implants proprietary micro anchor pairs to exclude scarred myocardium from the healthy tissue of the left ventricle lv the restoration of the lv to more optimal volume and conical shape has proven to enhance cardiac performance and significantly improve patient quality of life 1 the certification for ce marking is not only an important milestone for the company but also for those who treat heart failure said mr kenneth miller president and chief executive officer of bioventrix more importantly it transforms the spectrum of treatment by offering minimally invasive therapeutic solution for the previously ignored ventricle by making this critical treatment available we are giving physicians an important additional resource that they can utilize in conjunction with existing valvular and vascular therapies making guideline directed medical therapy gdmt even more effective moreover it provides access to efficacious and tolerable therapy to many frail patients who previously would have no options continued mr miller more than 100 000 patients will become eligible each year for this device implant said mr miller heart failure remains an epidemic worldwide and the ce marking certification validates the need for novel therapy for heart failure patients suffering from left ventricular dysfunction added dr lon annest chief medical officer of bioventrix there is no doubt that lv volume reduction is an important therapy as it directly impacts the parameters that determine prognosis and survival such as lv volume and ejection fraction the impact of the revivent tc system is achieved by transcatheter access to exclude the ischemic portion of the left ventricle from the healthy tissue continued dr annest this empowers heart teams in europe who currently have backlog of patients and soon in the us to ensure optimal clinical outcomes by minimizing the risk compared to conventional surgery said dr annest at 2 year follow up patients have made remarkable improvements in their quality of life by 38 additionally the clinical benefit has been proven to extend life for patients with significant reduction of lv end systolic volume index 31 and improvement of lv ejection fraction 23 2 left ventricular volume reduction is especially critical for the survival of patient as other studies have shown that significant lv volume reduction can directly prolong patient life 1 the revivent tc system is the only interventional therapy that can consistently achieve this survival benefit in heart failure patients about the revivent tc system and the live less invasive ventricular enhancement procedure placement of the revivent tc system via the live tm procedure obviates the need for more invasive surgery instead small titanium anchors are placed along the outer surface of the heart and along one of the interior walls via closed chest endovascular approach the anchors are then pulled toward one another effectively excluding the scarred and non functioning heart wall ventricular volume is immediately reduced as result of the exclusion by as much as 30 40 percent 3 click here for corporate video with animation about the live tm procedure the world only reshaping left ventricle therapy the live tm procedure is based upon well defined law of physics called the law of laplace which describes the relationship between the radius and pressure of the lv and its resulting wall tension increased wall tension is the underlying cause of lv enlargement worsening heart failure symptoms and ultimately patient death reducing wall tension is key to preventing further lv enlargement and treats the progression of the disease the revivent tc system placed via the live procedure is uniquely designed to directly reduce the lv radius which in turn decreases wall tension and interrupts the ongoing destructive process of heart failure 1 michler et al insights from the stich trial change in left ventricular size after coronary artery bypass grafting with and without surgical ventricular reconstruction of thoracic and cardiovascular surgery 29 october 2012 10 1016 jtcvs 2012 09 007 2 data available on file 3 wechsler et al clinical benefits twelve months after less invasive ventricular restoration operations without ventriculotomy annual meeting of the european society of cardio thoracic surgery 07 oct 2013 vienna austria ,no
7,q in which of the following conditions pulmonary arterial diastolic pressure padp is usually higher 6 or more than to pulmonary wedge pressure pwp or paop acute cardiogenic shock cardiac tamponade ventricular septal defect acute right heart failure pulmonary hypertension answer padp is usually either near equal or higher than pwp but if this difference exceeds more than 6 it may be calling to consider pulmonary hypertension pearl if pwp paop is higher than padp it is an error ,no
8,preoperative diagnosis atelectasis postoperative diagnosis mucous plugging procedure performed bronchoscopy anesthesia lidocaine topical 2 versed 3 mg iv conscious sedation procedure at bedside bronchoscope was passed down the tracheostomy tube under monitoring the main carina was visualized the trachea was free of any secretions the right upper lobe middle and lower lobes appeared to have some mucoid secretions but minimal and with some erythema left mainstem appeared patent left lower lobe had slight plugging in the left base but much better that previous bronchoscopy findings the area was lavaged with some saline and cleared the patient tolerated the procedure well ,yes
9,history smoking history zero indication dyspnea with walking less than 100 yards procedure fvc was 59 fev1 was 61 fev1 fvc ratio was 72 the predicted was 70 the fef 25 75 was 45 improved from 1 41 to 2 04 with bronchodilator which represents 45 improvement svc was 69 inspiratory capacity was 71 expiratory residual volume was 61 the tgv was 94 residual volume was 113 of its predicted total lung capacity was 83 diffusion capacity was diminished impression 1 moderate restrictive lung disease 2 some reversible small airway obstruction with improvement with bronchodilator 3 diffusion capacity is diminished which might indicate extrapulmonary restrictive lung disease 4 flow volume loop was consistent with the above and no upper airway obstruction ,yes
10,findings 1 the patient supine blood pressure was 153 88 with heart rate of 54 beats per minute 2 there was no significant change in heart rate or blood pressure on 80 degree tilt 3 no symptoms reported during the tilt study conclusion tilt table test is negative for any evidence of vasovagal orthostasis or vasodepressor syndrome ,yes
